latitude,longitude,continent
20.82488495,-98.49951688,North America
-3.45175152,-54.56393669,South America
-23.49646371,-47.46054193,South America
-16.54867768,-72.85277758,South America
-35.01086957,140.0643972,Oceania
-14.22366709,-43.75370355,South America
38.06349662,32.59794981,Asia
-22.81322954,22.03515412,Africa
-11.71737961,-57.05230863,South America
-27.07860659,146.7192057,Oceania
46.71905466,9.459717888,Europe
16.2263944,-14.07406777,Africa
16.5252514,79.2460586,Asia
-25.51086252,-63.00873004,South America
26.33348412,-102.6598057,North America
2.253234338,99.64904229,Asia
55.60493952,124.9186252,Russia
-28.64395625,134.3537937,Oceania
0.000271325,40.38448656,Africa
-10.78139948,-38.357234,South America
44.08487932,111.1884431,Asia
-24.09338219,-50.35383822,South America
-39.71868496,-70.57281281,South America
54.43463978,36.36091837,Russia
-7.119905295,111.5604725,Asia
-14.94045156,143.5541589,Oceania
46.96431593,91.45170002,Asia
41.84265812,33.73204022,Asia
-32.36562311,-66.93578981,South America
-33.07499177,-64.72527751,South America
46.46690779,19.61027161,Europe
-8.709749021,-69.55795021,South America
-33.91484881,-57.76251157,South America
37.41052793,40.84768713,Asia
1.215827407,34.73411179,Africa
-28.30400068,24.55413662,Africa
12.20986266,105.3137642,Asia
-32.31093668,125.1562395,Oceania
50.07412767,18.82259308,Europe
-31.88003046,141.7919382,Oceania
42.29721959,24.92379086,Europe
-37.78817006,144.2142406,Oceania
-18.1015108,135.6636376,Oceania
8.872528612,11.41777784,Africa
0.61424489,39.23578178,Africa
-47.66708386,-67.99612516,South America
51.21399069,34.11921872,Europe
-25.86926098,143.3897193,Oceania
65.78097231,45.03256739,Russia
-21.97059913,133.4859638,Oceania
-0.908052928,-60.51686807,South America
-33.74513013,24.63639357,Africa
-18.22216565,142.8091744,Oceania
-11.55804735,-51.02835867,South America
-36.49550658,-60.79786056,South America
-10.05753479,-67.96381212,South America
-38.34482905,-68.53479239,South America
-34.69906513,150.6869225,Oceania
47.44302153,109.7139337,Asia
-0.6317656,114.5728442,Asia
61.31526074,13.17819543,Europe
-24.94086411,-51.8722132,South America
-13.32046327,-46.57150539,South America
45.28486938,19.13481545,Europe
7.008317748,-1.135487356,Africa
53.94779355,-7.368339321,Europe
-31.56551477,23.26475001,Africa
62.26787276,71.5740811,Russia
52.7673824,15.70489913,Europe
-10.13769629,-38.29619025,South America
19.16703741,-90.22266794,North America
-17.28613568,-47.72384443,South America
45.70617391,113.6875534,Asia
74.11044158,-57.04101478,North America
-28.92102237,-56.09919089,South America
54.12772464,50.38180425,Russia
-33.26757068,-66.05035469,South America
61.48971357,152.213058,Russia
52.87308704,18.63809217,Europe
-38.93490392,-63.62099336,South America
-32.06710472,122.4329057,Oceania
-16.7103883,-40.89586267,South America
45.44176053,27.09637794,Europe
-37.27810852,-60.85006382,South America
-29.34606998,145.8624103,Oceania
6.454779668,-74.02551717,South America
-5.481198587,-36.91136417,South America
15.67148648,80.21530466,Asia
-27.95519636,119.4579991,Oceania
-28.78416214,-49.98234081,South America
-1.109477491,-60.45898496,South America
-5.592944878,-45.15258465,South America
-51.01029846,-71.1768602,South America
62.10722964,117.6362566,Russia
51.2865315,19.49078378,Europe
9.176363313,0.018828959,Africa
58.7544737,68.94844179,Russia
-22.77372312,29.35571295,Africa
-9.939063735,-57.1301069,South America
46.17534472,100.7293926,Asia
12.73521981,104.9939208,Asia
52.49800049,43.17354651,Russia
53.84231104,20.1475577,Europe
-31.99212348,145.9754652,Oceania
61.29312378,48.96903981,Russia
47.52462721,118.9518714,Asia
11.16299267,105.9523424,Asia
-28.02818617,118.5398961,Oceania
46.13844488,113.3814388,Asia
48.6458887,89.97346669,Asia
-13.43818891,-43.16446299,South America
37.35560141,35.5575917,Asia
0.390192843,36.29981723,Africa
-2.966587552,-47.64174818,South America
-8.159078757,-63.79235908,South America
-23.44224825,22.55637297,Africa
-22.56785418,144.4529412,Oceania
40.11497407,27.90380883,Asia
-8.141451557,-70.76595729,South America
63.36035032,46.53619806,Russia
8.551204198,7.716167787,Africa
55.50467763,157.6338917,Russia
-27.34715848,148.8961122,Oceania
-32.42322059,148.9527302,Oceania
62.57224853,12.57365345,Europe
14.29576585,-16.03697872,Africa
-6.770644238,-51.03334082,South America
-24.97912462,-60.1809635,South America
26.31261702,-104.5467449,North America
-20.16702312,25.40310216,Africa
37.76745676,39.42902,Asia
53.27553356,108.8362107,Russia
-23.49646371,-47.46054193,South America
49.35264406,30.566986,Europe
1.729011993,-50.87874194,South America
0.045833764,37.21106104,Africa
-50.56253829,-69.32965153,South America
-33.35791059,142.5727707,Oceania
-21.79353671,-54.63441743,South America
-16.19484471,-48.07396357,South America
56.12451277,22.5213535,Europe
