latitude,longitude
20.82488495,-98.49951688
-3.45175152,-54.56393669
-23.49646371,-47.46054193
-16.54867768,-72.85277758
-35.01086957,140.0643972
-14.22366709,-43.75370355
38.06349662,32.59794981
-22.81322954,22.03515412
-11.71737961,-57.05230863
-27.07860659,146.7192057
46.71905466,9.459717888
16.2263944,-14.07406777
16.5252514,79.2460586
-25.51086252,-63.00873004
26.33348412,-102.6598057
2.253234338,99.64904229
55.60493952,124.9186252
-28.64395625,134.3537937
0.000271325,40.38448656
-10.78139948,-38.357234
44.08487932,111.1884431
-24.09338219,-50.35383822
-39.71868496,-70.57281281
54.43463978,36.36091837
-7.119905295,111.5604725
-14.94045156,143.5541589
46.96431593,91.45170002
41.84265812,33.73204022
-32.36562311,-66.93578981
-33.07499177,-64.72527751
46.46690779,19.61027161
-8.709749021,-69.55795021
-33.91484881,-57.76251157
37.41052793,40.84768713
1.215827407,34.73411179
-28.30400068,24.55413662
12.20986266,105.3137642
-32.31093668,125.1562395
50.07412767,18.82259308
-31.88003046,141.7919382
42.29721959,24.92379086
-37.78817006,144.2142406
-18.1015108,135.6636376
8.872528612,11.41777784
0.61424489,39.23578178
-47.66708386,-67.99612516
51.21399069,34.11921872
-25.86926098,143.3897193
65.78097231,45.03256739
-21.97059913,133.4859638
-0.908052928,-60.51686807
-33.74513013,24.63639357
-18.22216565,142.8091744
-11.55804735,-51.02835867
-36.49550658,-60.79786056
-10.05753479,-67.96381212
-38.34482905,-68.53479239
-34.69906513,150.6869225
47.44302153,109.7139337
-0.6317656,114.5728442
61.31526074,13.17819543
-24.94086411,-51.8722132
-13.32046327,-46.57150539
45.28486938,19.13481545
7.008317748,-1.135487356
53.94779355,-7.368339321
-31.56551477,23.26475001
62.26787276,71.5740811
52.7673824,15.70489913
-10.13769629,-38.29619025
19.16703741,-90.22266794
-17.28613568,-47.72384443
45.70617391,113.6875534
74.11044158,-57.04101478
-28.92102237,-56.09919089
54.12772464,50.38180425
-33.26757068,-66.05035469
61.48971357,152.213058
52.87308704,18.63809217
-38.93490392,-63.62099336
-32.06710472,122.4329057
-16.7103883,-40.89586267
45.44176053,27.09637794
-37.27810852,-60.85006382
-29.34606998,145.8624103
6.454779668,-74.02551717
-5.481198587,-36.91136417
15.67148648,80.21530466
-27.95519636,119.4579991
-28.78416214,-49.98234081
-1.109477491,-60.45898496
-5.592944878,-45.15258465
-51.01029846,-71.1768602
62.10722964,117.6362566
51.2865315,19.49078378
9.176363313,0.018828959
58.7544737,68.94844179
-22.77372312,29.35571295
-9.939063735,-57.1301069
46.17534472,100.7293926
12.73521981,104.9939208
52.49800049,43.17354651
53.84231104,20.1475577
-31.99212348,145.9754652
61.29312378,48.96903981
47.52462721,118.9518714
11.16299267,105.9523424
-28.02818617,118.5398961
46.13844488,113.3814388
48.6458887,89.97346669
-13.43818891,-43.16446299
37.35560141,35.5575917
0.390192843,36.29981723
-2.966587552,-47.64174818
-8.159078757,-63.79235908
-23.44224825,22.55637297
-22.56785418,144.4529412
40.11497407,27.90380883
-8.141451557,-70.76595729
63.36035032,46.53619806
8.551204198,7.716167787
55.50467763,157.6338917
-27.34715848,148.8961122
-32.42322059,148.9527302
62.57224853,12.57365345
14.29576585,-16.03697872
-6.770644238,-51.03334082
-24.97912462,-60.1809635
26.31261702,-104.5467449
-20.16702312,25.40310216
37.76745676,39.42902
53.27553356,108.8362107
-23.49646371,-47.46054193
49.35264406,30.566986
1.729011993,-50.87874194
0.045833764,37.21106104
-50.56253829,-69.32965153
-33.35791059,142.5727707
-21.79353671,-54.63441743
-16.19484471,-48.07396357
56.12451277,22.5213535
-19.62316987,-50.09245238
14.35852801,76.19815623
36.88587343,-3.020766481
57.72272313,66.23323954
48.42054517,22.28905407
15.84164141,-91.99234813
8.175055937,8.594919223
-29.9152243,-56.66136478
62.15404846,75.19270501
-28.24485952,148.7574898
-19.87077415,136.2875021
-20.8415217,-53.19772561
-12.49329646,-51.76957931
26.96578599,-106.6727785
51.24246793,42.67285777
41.39422396,25.40197731
10.4733872,-74.75131869
-54.33855233,-66.7094655
-34.17740252,-66.96243538
56.69404398,21.26261361
43.31875721,143.3826911
-31.44640996,-64.12760933
21.04336299,-101.342706
-21.48183238,146.748875
-29.32061861,-63.81934913
-7.563978179,-49.70098287
42.8826004,140.7783046
-10.56618866,-63.62900751
7.379457028,7.622734386
37.79301954,14.29836988
-23.85353073,-63.28517102
48.55965224,102.1184548
-28.03707441,28.21447163
-3.1201026,-60.0265781
15.49457982,103.5717052
45.80861042,11.67696438
42.91345211,132.8070358
-5.318964202,-41.58097757
40.68550642,21.81782167
47.9264433,22.06537697
-17.22578914,-62.55544152
19.74466974,-89.15973035
56.72669893,9.577344033
-19.11565075,-47.6946785
67.00750783,56.92086728
-22.13746885,-56.64544974
-28.71205743,25.79856712
19.05084184,83.63782907
54.0367923,122.3477466
-27.04862554,-50.64093914
-31.22829871,138.4050985
-38.21955946,-64.07052968
41.65990561,75.01379833
-35.16724995,-66.57061974
49.77551294,17.18817128
57.30883863,-5.414668908
-19.85212582,142.840926
-20.10737137,-53.81223519
